GeneSymbol	NumberPerfect	NumberImperfect	RejectPerfect	RejectPerfectNotes	RejectImperfect	RejectImperfectNotes. In cases where F=/, this lists acceptable forms.
A1BG	4	0				
A1CF	0	1				
A2M	36	16				
A2ML1	5	0				
A4GALT	23	0				
AAAS	71	96	x	Acronym for American Association for Advancement of Science	x	
AACS	2	17			x	
AADAC	5	0				
AADAT	0	1				
AAK1	172	0				
AAMP	21	0	x	Automated Aerosol Management Platform		
AANAT	28	0				
AARD	2	185	x	associated autoimmune rheumatic diseases	x	dutch
AARS2	6	0				
AASDH	2	0				
AASS	3	47			x	
AATF	4	6	x	African Agricultural Technology Foundation	x	AAT fragments
AATK	1	0				
AAVS1	34	0				
ABAT	1	8				some right, but mesy
ABCA1	180	30				
ABCA10	2	0				
ABCA12	7	0				
ABCA2	4	0				
ABCA3	211	5				
ABCA4	19	2				
ABCA5	1	0				
ABCA6	4	0				
ABCA7	19	0				
ABCA8	2	2				
ABCB1	490	2				
ABCB11	51	1				
ABCB4	27	4				
ABCB6	19	1				
ABCB7	1	0				
ABCB8	0	2				
ABCC1	57	0				 
ABCC10	6	0				
ABCC11	6	0				
ABCC12	1	0				
ABCC2	84	2				
ABCC3	17	0				
ABCC4	20	2				
ABCC5	2	0				
ABCC6	15	3				
ABCC8	17	0				
ABCC9	7	1				
ABCD1	41	7				
ABCD2	28	5				
ABCD3	7	0				
ABCD4	5	1				
ABCE1	20	0				
ABCF1	19	3				
ABCF2	2	0				
ABCF3	3	0				
ABCG1	54	9				
ABCG2	190	19				
ABCG4	4	0				
ABCG5	9	9				
ABCG8	6	6				
ABHD1	1	0				
ABHD11	1	0				
ABHD12	6	0				
ABHD12B	0	2				
ABHD13	2	0				
ABHD16A	4	0				
ABHD3	1	0				
ABHD4	1	0				
ABHD5	4	1				
ABHD6	7	0				
ABI1	2	0				
ABI3	2	0				
ABL1	30	20				
ABL2	4	18				
ABLIM3	0	1				
ABO	1975	50			x	
ABR	205	26	x	antibiotic resistance	x	
ABRA	10	8	x	mostly acronyms	x	spanish
ABT1	1	1				
ABTB2	1	0				
ACAA1	7	0				
ACAA2	1	0				
ACACA	24	1				
ACAD11	0	2				
ACAD9	3	0				
ACADL	2	10				
ACADM	34	0				
ACADS	2	0				
ACADSB	1	0				
ACADVL	11	2				
ACAN	16	5			x	
ACAT1	21	0				
ACAT2	13	0				
ACBD3	172	0				
ACBD4	0	2				
ACBD5	1	0				
ACBD7	1	0				
ACCS	6	37	x	acronyms	x	
ACD	691	32	x	acronyms	x	
ACE	8519	315				
ACE2	53306	1008				
ACHE	27	997			x	
ACIN1	1	0				
ACKR1	35	0				
ACKR2	31	0				
ACKR3	1	0				
ACKR4	1	0				
ACLY	30	0				
ACMSD	11	0				
ACO1	8	0				
ACO2	10	31				
ACOD1	6	0				
ACOT1	0	7				
ACOT8	2	0				
ACOX1	5	9				
ACOX2	7	0				
ACOX3	1	0				
ACP1	10	0				
ACP2	4	0				
ACP5	11	4				
ACP6	1	0				
ACR	1098	15	x	American College of Rheumatology	x	
ACSF3	4	0				
ACSL1	13	1				
ACSL3	10	3				
ACSL4	3	0				
ACSL5	5	0				
ACSL6	1	1				
ACSM1	2	0				
ACSM2B	1	0				
ACSM3	1	0				
ACSM4	2	1				
ACSS1	3	0				
ACSS2	8	0				
ACTA1	6	6				
ACTA2	52	20				
ACTB	399	64				
ACTBL2	1	0				
ACTBP2	1	0				
ACTC1	18	4				
ACTG1	21	1				
ACTG2	12	1				
ACTL6A	2	0				
ACTL7A	0	1				
ACTL7B	0	1				
ACTL9	1	0				
ACTN1	6	0				
ACTN2	0	1				
ACTN3	5	0				
ACTN4	16	22				
ACTR10	0	1				
ACTR2	9	4				
ACTR3	13	0				
ACVR1	14	2				
ACVR1B	2	0				
ACVR1C	12	1				
ACVR2A	1	1				
ACVR2B	4	32				
ACVRL1	29	2				
ACY1	6	1				
ACY3	1	0				
ACYP1	1	0				
ADA	1300	138		A little messy, but mostly gene	x	name
ADA2	147	1				
ADAL	0	7			x	name
ADAM10	345	3				
ADAM11	6	1				
